Year,Consumption,City
2014,147371.91299,New York City
2015,148913.65506,New York City
2016,147803.03801,New York City
2017,144992.43302,New York City
2018,149929.851,New York City
2019,145600.34501,New York City
2020,140406.63199,New York City
2021,141423.77816,New York City
2022,143210.51698,New York City
2023,139421.93598,New York City
2024,140380.17106,New York City
