Year,Consumption,City
2014,92140.77699,Seattle
2015,90116.08597,Seattle
2016,88885.316,Seattle
2017,91948.17201,Seattle
2018,90005.79099,Seattle
2019,91052.79598,Seattle
2020,86706.144,Seattle
2021,88198.668,Seattle
2022,90897.31998,Seattle
2023,89552.62999,Seattle
2024,90308.22878,Seattle
