Year,Education level,City
2014,15.63,Seattle
2015,15.66,Seattle
2016,15.72,Seattle
2017,15.77,Seattle
2018,15.82,Seattle
2019,15.87,Seattle
2020,15.89,Seattle
2021,15.92,Seattle
2022,15.96,Seattle
2023,15.99,Seattle
