Model,R² (Train),R² (Test),RMSE,MAE
Linear Regression,0.23499517105100054,0.3436987488426735,5.827374321431808,4.533755346426079
Polynomial Regression,0.45145197430765194,0.3479076978155595,5.808658395122775,4.738948243278386
Random Forest,0.5980084680049886,0.5227627726990791,4.969222657162428,3.80731556375353
