year,yield,fall_tmax,fall_tmin,fall_precip,fall_solar,winter_tmax,winter_tmin,winter_precip,winter_solar,spring_tmax,spring_tmin,spring_precip,spring_solar,avg_tmax,avg_tmin,total_precip,total_solar,avg_temp,temp_range
2002,29.0,71.24692329993614,52.943076793964096,5.460000054910779,1345.2100105285645,46.298461327186,27.913845942570614,2.190000018104911,961.0200042724609,62.5530759371244,41.3215389251709,8.810000028461218,1791.4200134277344,60.03282018808218,40.726153887235206,16.460000101476908,4097.65002822876,50.37948703765869,19.30666630084697
2001,38.0,68.78461573674129,50.71692246657152,5.519999956712127,1329.590000152588,37.75692294194148,20.60384618318998,5.019999952986836,869.8600082397461,63.6038457430326,44.81384614797739,10.449999993667006,1769.2300109863281,56.715128140571785,38.711538265912964,20.98999990336597,3968.680019378662,47.71333320324237,18.00358987465882
2025,51.0,73.75769248375526,54.06307689960186,8.190000114962459,1438.7600059509277,38.38230778620793,21.29230785369873,2.529999991878867,921.2899971008301,68.0546153141902,46.1946155841534,7.060000045225024,1814.860008239746,60.06487186138446,40.51666677915133,17.78000015206635,4174.910011291504,50.2907693202679,19.54820508223313
2025,51.0,73.75769248375526,54.06307689960186,8.190000114962459,1438.7600059509277,38.38230778620793,21.29230785369873,2.529999991878867,921.2899971008301,68.0546153141902,46.1946155841534,7.060000045225024,1814.860008239746,60.06487186138446,40.51666677915133,17.78000015206635,4174.910011291504,50.2907693202679,19.54820508223313
2025,50.0,73.75769248375526,54.06307689960186,8.190000114962459,1438.7600059509277,38.38230778620793,21.29230785369873,2.529999991878867,921.2899971008301,68.0546153141902,46.1946155841534,7.060000045225024,1814.860008239746,60.06487186138446,40.51666677915133,17.78000015206635,4174.910011291504,50.2907693202679,19.54820508223313
2025,51.0,73.75769248375526,54.06307689960186,8.190000114962459,1438.7600059509277,38.38230778620793,21.29230785369873,2.529999991878867,921.2899971008301,68.0546153141902,46.1946155841534,7.060000045225024,1814.860008239746,60.06487186138446,40.51666677915133,17.78000015206635,4174.910011291504,50.2907693202679,19.54820508223313
2025,50.0,73.75769248375526,54.06307689960186,8.190000114962459,1438.7600059509277,38.38230778620793,21.29230785369873,2.529999991878867,921.2899971008301,68.0546153141902,46.1946155841534,7.060000045225024,1814.860008239746,60.06487186138446,40.51666677915133,17.78000015206635,4174.910011291504,50.2907693202679,19.54820508223313
2024,43.0,71.50923068706805,51.88846103961651,5.679999906569719,1354.2399940490723,45.403845860407905,27.96307681157039,4.659999901428819,854.8499946594238,68.02000075120192,45.96153846153846,8.279999958351254,1885.6799926757812,61.64435909955929,41.93769210424178,18.619999766349792,4094.7699813842773,51.791025601900536,19.706666995317505
2024,44.0,71.50923068706805,51.88846103961651,5.679999906569719,1354.2399940490723,45.403845860407905,27.96307681157039,4.659999901428819,854.8499946594238,68.02000075120192,45.96153846153846,8.279999958351254,1885.6799926757812,61.64435909955929,41.93769210424178,18.619999766349792,4094.7699813842773,51.791025601900536,19.706666995317505
2024,43.0,71.50923068706805,51.88846103961651,5.679999906569719,1354.2399940490723,45.403845860407905,27.96307681157039,4.659999901428819,854.8499946594238,68.02000075120192,45.96153846153846,8.279999958351254,1885.6799926757812,61.64435909955929,41.93769210424178,18.619999766349792,4094.7699813842773,51.791025601900536,19.706666995317505
