Model,R² (Train),R² (Test),RMSE,MAE
Linear Regression,0.2937847542992039,0.40590794303569355,6.339088577047035,5.177526142961431
Polynomial Regression,0.6561519299573044,0.6506195712852942,4.8612643039265775,4.193667625791411
Random Forest,0.9721012731909228,0.9288073926940206,2.1944080945709223,1.8138948165961741
