year,yield,avg_tmax,avg_tmin,total_precip,total_solar,avg_temp,temp_range
2025,65.0,80.09409158880061,62.63272770968351,16.700000014156103,3311.8199920654297,71.36340964924206,17.4613638791171
2025,65.0,80.09409158880061,62.63272770968351,16.700000014156103,3311.8199920654297,71.36340964924206,17.4613638791171
2025,65.0,80.09409158880061,62.63272770968351,16.700000014156103,3311.8199920654297,71.36340964924206,17.4613638791171
2025,65.0,80.09409158880061,62.63272770968351,16.700000014156103,3311.8199920654297,71.36340964924206,17.4613638791171
2024,64.0,81.57363718206233,63.13363630121405,16.650000024586916,3409.0600204467773,72.35363674163818,18.44000088084828
2024,66.0,81.57363718206233,63.13363630121405,16.650000024586916,3409.0600204467773,72.35363674163818,18.44000088084828
2024,65.0,81.57363718206233,63.13363630121405,16.650000024586916,3409.0600204467773,72.35363674163818,18.44000088084828
2024,67.0,81.57363718206233,63.13363630121405,16.650000024586916,3409.0600204467773,72.35363674163818,18.44000088084828
2024,65.0,81.57363718206233,63.13363630121405,16.650000024586916,3409.0600204467773,72.35363674163818,18.44000088084828
2023,63.0,80.93318245627664,61.39681781422008,15.540000036358833,3444.209976196289,71.16500013524836,19.53636464205656
2023,62.0,80.93318245627664,61.39681781422008,15.540000036358833,3444.209976196289,71.16500013524836,19.53636464205656
2023,61.0,80.93318245627664,61.39681781422008,15.540000036358833,3444.209976196289,71.16500013524836,19.53636464205656
2023,61.0,80.93318245627664,61.39681781422008,15.540000036358833,3444.209976196289,71.16500013524836,19.53636464205656
2023,61.0,80.93318245627664,61.39681781422008,15.540000036358833,3444.209976196289,71.16500013524836,19.53636464205656
2022,63.0,81.21136370572177,62.837272297252305,19.349999949336052,3275.4599990844727,72.02431800148703,18.37409140846946
2022,66.0,81.21136370572177,62.837272297252305,19.349999949336052,3275.4599990844727,72.02431800148703,18.37409140846946
2022,64.0,81.21136370572177,62.837272297252305,19.349999949336052,3275.4599990844727,72.02431800148703,18.37409140846946
2022,64.0,81.21136370572177,62.837272297252305,19.349999949336052,3275.4599990844727,72.02431800148703,18.37409140846946
2022,64.0,81.21136370572177,62.837272297252305,19.349999949336052,3275.4599990844727,72.02431800148703,18.37409140846946
2021,65.0,80.69818236611106,63.10363717512651,20.650000020861626,3154.190010070801,71.90090977061878,17.594545190984547
2021,64.0,80.69818236611106,63.10363717512651,20.650000020861626,3154.190010070801,71.90090977061878,17.594545190984547
2021,64.0,80.69818236611106,63.10363717512651,20.650000020861626,3154.190010070801,71.90090977061878,17.594545190984547
2021,64.0,80.69818236611106,63.10363717512651,20.650000020861626,3154.190010070801,71.90090977061878,17.594545190984547
2021,64.0,80.69818236611106,63.10363717512651,20.650000020861626,3154.190010070801,71.90090977061878,17.594545190984547
2020,60.0,79.60318183898926,61.84636341441762,21.009999871253967,3211.619987487793,70.72477262670344,17.75681842457164
2020,64.0,79.60318183898926,61.84636341441762,21.009999871253967,3211.619987487793,70.72477262670344,17.75681842457164
2020,58.0,79.60318183898926,61.84636341441762,21.009999871253967,3211.619987487793,70.72477262670344,17.75681842457164
2020,60.0,79.60318183898926,61.84636341441762,21.009999871253967,3211.619987487793,70.72477262670344,17.75681842457164
2020,62.0,79.60318183898926,61.84636341441762,21.009999871253967,3211.619987487793,70.72477262670344,17.75681842457164
2019,54.0,80.50863595442338,63.24318157542836,24.379999915137887,3104.3699798583984,71.87590876492587,17.265454378995024
2019,55.0,80.50863595442338,63.24318157542836,24.379999915137887,3104.3699798583984,71.87590876492587,17.265454378995024
