Year,Education level,City
2014,14.67,New York
2015,14.7,New York
2016,14.72,New York
2017,14.74,New York
2018,14.76,New York
2019,14.78,New York
2020,14.83,New York
2021,14.84,New York
2022,14.87,New York
2023,14.9,New York
