year,yield,avg_tmax,avg_tmin,total_precip,total_solar,avg_temp,temp_range
2025,216.0,75.931153517503,58.27538446279672,26.769999952986836,3767.6199951171875,67.10326899014987,17.655769054706283
2025,222.0,75.931153517503,58.27538446279672,26.769999952986836,3767.6199951171875,67.10326899014987,17.655769054706283
2025,216.0,75.931153517503,58.27538446279672,26.769999952986836,3767.6199951171875,67.10326899014987,17.655769054706283
2025,219.0,75.931153517503,58.27538446279672,26.769999952986836,3767.6199951171875,67.10326899014987,17.655769054706283
2024,211.0,75.88111199273004,57.12222191139504,29.449999891221523,4033.8399963378906,66.50166695206254,18.758890081335004
2024,209.0,75.88111199273004,57.12222191139504,29.449999891221523,4033.8399963378906,66.50166695206254,18.758890081335004
2024,213.0,75.88111199273004,57.12222191139504,29.449999891221523,4033.8399963378906,66.50166695206254,18.758890081335004
2024,214.0,75.88111199273004,57.12222191139504,29.449999891221523,4033.8399963378906,66.50166695206254,18.758890081335004
2024,212.0,75.88111199273004,57.12222191139504,29.449999891221523,4033.8399963378906,66.50166695206254,18.758890081335004
2023,201.0,77.21115376399113,57.173846391531136,16.610000068321824,4023.4200286865234,67.19250007776114,20.03730737246
2023,203.0,77.21115376399113,57.173846391531136,16.610000068321824,4023.4200286865234,67.19250007776114,20.03730737246
2023,200.0,77.21115376399113,57.173846391531136,16.610000068321824,4023.4200286865234,67.19250007776114,20.03730737246
2023,199.0,77.21115376399113,57.173846391531136,16.610000068321824,4023.4200286865234,67.19250007776114,20.03730737246
2023,200.0,77.21115376399113,57.173846391531136,16.610000068321824,4023.4200286865234,67.19250007776114,20.03730737246
2022,200.0,75.5911538050725,57.20692253112793,21.759999856352806,3745.170021057129,66.39903816810022,18.384231273944565
2022,205.0,75.5911538050725,57.20692253112793,21.759999856352806,3745.170021057129,66.39903816810022,18.384231273944565
2022,202.0,75.5911538050725,57.20692253112793,21.759999856352806,3745.170021057129,66.39903816810022,18.384231273944565
2022,200.0,75.5911538050725,57.20692253112793,21.759999856352806,3745.170021057129,66.39903816810022,18.384231273944565
2022,200.0,75.5911538050725,57.20692253112793,21.759999856352806,3745.170021057129,66.39903816810022,18.384231273944565
2021,204.0,76.5688458956205,58.257692043597885,20.429999947547913,3804.9799728393555,67.41326896960919,18.311153852022613
2021,193.0,76.5688458956205,58.257692043597885,20.429999947547913,3804.9799728393555,67.41326896960919,18.311153852022613
2021,201.0,76.5688458956205,58.257692043597885,20.429999947547913,3804.9799728393555,67.41326896960919,18.311153852022613
2021,201.0,76.5688458956205,58.257692043597885,20.429999947547913,3804.9799728393555,67.41326896960919,18.311153852022613
2021,198.0,76.5688458956205,58.257692043597885,20.429999947547913,3804.9799728393555,67.41326896960919,18.311153852022613
2020,177.0,75.00961523789626,56.833077063927284,20.07000003196299,3769.469985961914,65.92134615091177,18.17653817396897
2020,202.0,75.00961523789626,56.833077063927284,20.07000003196299,3769.469985961914,65.92134615091177,18.17653817396897
2020,184.0,75.00961523789626,56.833077063927284,20.07000003196299,3769.469985961914,65.92134615091177,18.17653817396897
2020,186.0,75.00961523789626,56.833077063927284,20.07000003196299,3769.469985961914,65.92134615091177,18.17653817396897
