Model,R² (Train),R² (Test),RMSE,MAE
Linear Regression,0.024888024006375797,-0.0945065177334814,52.10776303167721,40.34263757623534
Polynomial Regression,0.11733783414472598,-0.5369605481603275,61.7482442425672,47.3292189108208
Random Forest,0.16055027258040444,-0.7545637281745281,65.97476119484318,50.336235705507036
